24 16
0	0	5	0	0	0	0	0	0	0	0	5	5	5	5	5	0	0	0	0	0	0	0	0
0	7	5	5	5	5	5	5	0	0	0	7	5	5	5	5	5	0	1	1	1	1	4	0
0	5	5	5	5	5	0	0	0	0	0	0	0	5	5	0	6	0	1	2	0	5	5	5
0	0	5	5	5	0	0	0	0	0	0	0	0	0	0	6	6	0	1	0	0	0	5	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	1	0	0	0	0	5
0	5	5	5	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	7	0	0	0	0
5	5	5	0	0	0	6	6	6	0	0	0	1	2	0	0	0	0	5	5	0	0	0	0
0	5	5	0	0	0	0	6	6	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	5	0	0	0	0	7	6	6	6	6	0	1	0	6	6	0	0	0	0	0	0	0	0
0	0	0	6	6	6	0	0	0	0	6	2	1	5	6	6	6	0	0	0	0	0	0	0
0	0	0	6	1	1	1	1	1	1	1	1	1	5	6	6	6	6	0	0	0	0	0	0
0	0	0	6	1	2	5	0	0	0	0	0	0	0	6	5	5	0	0	0	0	0	0	0
7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5
5	7	0	2	1	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	5	7	5	5
3	1	1	1	1	0	0	0	7	5	5	7	5	0	0	0	0	0	5	7	5	5	5	5
5	7	0	0	0	0	0	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5
